Bid;Generation;CumSum;Comments
1;10;10;
11;10;20;
21;10;30;
31;10;40;
41;10;50;
51;10;60;
61;10;70;
71;10;80;
81;10;90;
91;10;100;
101;10;110;
111;10;120;
121;10;130;
131;10;140;
141;10;150;
151;10;160;
161;10;170;
171;10;180;
181;10;190;
191;10;200;
201;10;210;
211;10;220;
221;10;230;
231;10;240;
241;10;250;
251;10;260;
261;10;270;
271;10;280;
281;10;290;
291;10;300;
301;10;310;
311;10;320;
321;10;330;
331;10;340;
341;10;350;
351;10;360;
361;10;370;
371;10;380;
381;10;390;
391;10;400;
401;10;410;
411;10;420;
421;10;430;
431;10;440;
441;10;450;
451;10;460;
461;10;470;
471;10;480;
481;10;490;
491;10;500;
501;10;510;
511;10;520;
521;10;530;
531;10;540;
541;10;550;
551;10;560;
561;10;570;
571;10;580;
581;10;590;
591;10;600;
