Bid;Generation;CumSum;Comments
0;1;1;
1000;1;2;
2000;1;3;
3000;1;4;# Bidding 0 make this the market price for cap 1 / demand 5
4000;1;5;# Everything between 401 and 499 should be better!
5000;1;6;
6000;1;7;
7000;1;8;
8000;1;9;
9000;1;10;
10000;1;11;
11000;1;12;
12000;1;13;
13000;1;14;
14000;1;15;
15000;1;16;
16000;1;17;
17000;1;18;
18000;1;19;
19000;1;20;
20000;1;21;
21000;1;22;
22000;1;23;
23000;1;24;
24000;1;25;
25000;1;26;
26000;1;27;
27000;1;28;
28000;1;29;
29000;1;30;
30000;1;31;
31000;1;32;
32000;1;33;
33000;1;34;
34000;1;35;
35000;1;36;
36000;1;37;
37000;1;38;
38000;1;39;
39000;1;40;
40000;1;41;
41000;1;42;
42000;1;43;
43000;1;44;
44000;1;45;
45000;1;46;
46000;1;47;
47000;1;48;
48000;1;49;
49000;1;50;
50000;1;51;
51000;1;52;
52000;1;53;
53000;1;54;
54000;1;55;
55000;1;56;
56000;1;57;
57000;1;58;
58000;1;59;
59000;1;60;
