Bid;Generation ;CumSum;Comments
0;100;100;
100;100;200;
200;100;300;
300;100;400;
400;100;500;
500;100;600;
600;100;700;
700;100;800;
800;100;900;
900;100;1000;
1000;100;1100;
1100;100;1200;
1200;100;1300;
1300;100;1400;
1400;100;1500;
1500;100;1600;
1600;100;1700;
1700;100;1800;
1800;100;1900;
1900;100;2000;
2000;100;2100;
2100;100;2200;
2200;100;2300;
2300;100;2400;
2400;100;2500;
2500;100;2600;
2600;100;2700;
2700;100;2800;
2800;100;2900;
2900;100;3000;
3000;100;3100;
3100;100;3200;
3200;100;3300;
3300;100;3400;
3400;100;3500;
3500;100;3600;
3600;100;3700;
3700;100;3800;
3800;100;3900;
3900;100;4000;
4000;100;4100;
4100;100;4200;
4200;100;4300;
4300;100;4400;
4400;100;4500;
4500;100;4600;
4600;100;4700;
4700;100;4800;
4800;100;4900;
4900;100;5000;
5000;100;5100;
5100;100;5200;
5200;100;5300;
5300;100;5400;
5400;100;5500;
5500;100;5600;
5600;100;5700;
5700;100;5800;
5800;100;5900;
5900;100;6000;
